Estado,Média Geral
Maranhão,"R$ 1887,08"
Bahia,"R$ 1958,50"
Ceará,"R$ 2012,58"
Alagoas,"R$ 2027,08"
Sergipe,"R$ 2101,50"
Pernambuco,"R$ 2110,92"
Piauí,"R$ 2132,17"
Paraíba,"R$ 2137,50"
Pará,"R$ 2202,33"
Amazonas,"R$ 2269,17"
Rio Grande do Norte,"R$ 2312,58"
Acre,"R$ 2528,08"
Amapá,"R$ 2631,33"
Tocantins,"R$ 2639,17"
Roraima,"R$ 2703,75"
Minas Gerais,"R$ 2761,25"
Rondônia,"R$ 2768,92"
Espírito Santo,"R$ 3004,92"
Média Nacional,"R$ 3037,50"
Goiás,"R$ 3038,42"
Paraná,"R$ 3287,75"
Mato Grosso do Sul,"R$ 3304,08"
Mato Grosso,"R$ 3329,17"
Rio Grande do Sul,"R$ 3329,17"
Santa Catarina,"R$ 3422,83"
Rio de Janeiro,"R$ 3625,42"
São Paulo,"R$ 3732,75"
Distrito Federal,"R$ 5028,50"
